job_url;job_name;job_company;job_technologies_stack;job_description;publication_date;workplace_location;has_been_updated;salary_lower_bound;salary_upper_bound;cutoff_date
https://www.tecnoempleo.com/full-stack-developer-ruby-react-hibrido/react-ruby/rf-f85d1c6762d6c3a22440;;Start People;['REACT', 'Ruby'];En START PEOPLE estamos en búsqueda de un perfil Full Stack (Ruby & React) para una oportunidad muy interesante para cliente final con presencia en territorio nacional.¿Qu...;04/08/2024;Híbrido;Actualizada;24000;30000;2024-08-04
https://www.tecnoempleo.com/devops-aws-remoto/devops-aws-kubernetes-docker-terraform-git/rf-22821708e2599393a345;;arelance;['devops', 'aws', 'kubernetes'];En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...;04/08/2024;remoto;Actualizada;27000;30000;2024-08-04
https://www.tecnoempleo.com/consultores-sap-brim-hibrido/sap-brim-fica/rf-668119cba205c3e06840;;Seltime;['SAP BRIM', 'FICA'];SELTIME compañía española en proceso de expansión, líder en dar soluciones tecnológicas específicas a cada cliente y un trato personalizado a nuestros profesionales....;04/08/2024;Híbrido;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/analista-programador-cobol-remoto/cobol-microfocus-sqlserver-db2-oracle-gi/rf-39da13df422ba34cdf43;;Digital Talent Agency;['cobol', 'microfocus', 'sqlserver'];DescripciónAnalista Programador/a Cobol en Zemsania¡Zemsania busca un/a Analista Programador/a Cobol con al menos 4 años de experiencia para unirse a nuestro equipo...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/wmos-manhattan-especialista-remoto/wms/rf-325610e3222513895c49;;Grupo Digital;['WMS'];Desde Grupo Digital buscamos para empresa del sevtor retailExperto en WMOS-ManhattanTareas a realizar* consultoría de la cadena de suministro y operaciones,* diseñio ...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/sap-co-consultant-remoto/sap-sap-co/rf-28721d8a82de8330b84d;;Grupo Digital;['SAP', 'SAP CO'];Desde Grupo Digital buscamos para  trabajar en modo MULTICLIENTE SAP Controlling   Consultant Tus funciones principales seran:* Consultoría SAP en el área de ...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/desarrollador-angular-hibrido/angular-jira-karma-jasmine-ngrx-rxjs/rf-79af1892f2107306d34f;;CAS TRAINING;['angular', 'Jira', 'Karma'];Desarrollador Angular - proyecto Internacional. Como desarrollador de SW Frontend, creará componentes de UI de acuerdo con un diseño de UX predefinido e interactuarás con ...;04/08/2024;Híbrido;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/agile-lead-engineer-con-ingles-hibrido/agile/rf-c2771006722383fdae4c;;Digital Talent Agency;['agile'];En la actualidad estamos seleccionando un perfil de AGILE LEAD ENGINEER CON INGLÉS en Madrid.Experiencia en procesos de transformación de delivery con metodología agile ...;04/08/2024;Híbrido;Actualizada;48000;80000;2024-08-04
https://www.tecnoempleo.com/consultor-liferay-madrid/liferay/rf-1f2511c6127c830a8c41;;Page Personnel;['Liferay'];Perfil buscado (Hombre/Mujer)• Implementar soluciones técnicas en la plataforma Liferay.• Trabajar en estrecha colaboración con el equipo de desarrollo para asegurar...;04/08/2024;;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/desarrollador-sap-abap-bapi-senior-remoto/sap-abap/rf-d89a105212ab236b8947;;Grupo Digital;['SAP', 'ABAP'];Desde Grupo Digital, estamos en búsqueda de un perfil Desarrollador SAP ABAP Senior para uno de nuestros clientes.Duración proyecto: hasta 30/09/2024 - Prorrogable...;04/08/2024;remoto;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/consultor-sap-central-finance-remoto/sap/rf-86da1498b2c00310b14d;;Grupo Digital;['SAP'];Desde Grupo Digital, estamos en búsqueda de un/a Consultor/a SAP Central Finance para un proyecto de larga duración.Duración proyecto: Estable (larga duración)....;04/08/2024;remoto;Actualizada;36000;42000;2024-08-04
https://www.tecnoempleo.com/tecnico-campo-redes-fibra-ptica-presencial/redes-fibra-optica/rf-e575187812e8f3d78c46;;Zaidan IT Consulting;['redes', 'fibra óptica'];En representación de importante cliente ubicado en Avila/Segovia, desde Zaidan IT Solutions, empresa líder en el sector de consultoría en tecnologías de la información, ...;04/08/2024;;Actualizada;15000;16000;2024-08-04
https://www.tecnoempleo.com/analista-java-pros-hibrido/java-javascript-pros-git-sql/rf-2f0a1897c2d863de5240;;arelance;['java', 'javascript', 'pros@'];¿Cómo vas a afrontar tu desarrollo profesional? Acompañado o en solitario, con vistas al futuro o sólo en el presente, con entusiasmo o sin ilusión.En Arelance sabemos ...;04/08/2024;Híbrido;Actualizada;36000;39000;2024-08-04
https://www.tecnoempleo.com/disenador-cableado-hibrido/cad-solidedge-cae-windchill/rf-2a031bf522cac3d55948;;arelance;['cad', 'solidedge', 'cae'];En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...;04/08/2024;Híbrido;Actualizada;27000;30000;2024-08-04
https://www.tecnoempleo.com/programador-con-experiencia-en-angular-hibrido/angular-karma-jasmine-ngrx-/rf-1e931aaeb24833168243;;Krell Consulting & Training;['angular', 'karma', 'jasmine'];Estamos buscando un Programador con Experiencia en Angular para un proyecto internacional. Como Desarrollador Frontend de Software, serás responsable de crear componentes de ...;04/08/2024;Híbrido;Actualizada;36000;39000;2024-08-04
https://www.tecnoempleo.com/desarrollador-senior-fullstack-remoto/java-spring-sql-angular-aws-solid-sc/rf-5d94127422d633022444;;arelance;['java', 'spring', 'sql'];En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para ...;04/08/2024;remoto;Actualizada;36000;39000;2024-08-04
https://www.tecnoempleo.com/gerente-cuentas-it-hibrido/sistemas-cloud-infraestructuras-ciberseguridad/rf-acb614e0220c9361c443;;Nextret;['sistemas', 'cloud', 'infraestructuras'];En NexTReT estamos buscando incorporar a dos Gerentes de Cuentas en los ámbitos de Sistemas, infraestructura y ciberseguridad, uno/a para nuestra sede en Madrid y otro/a para...;04/08/2024;Híbrido;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/administrador-jira-madrid/jira-confluence-scriptrunner-groovy/rf-8d8619da928d5333934e;;Baoss;['jira', 'confluence', 'scriptrunner'];¿Eres un experto en la administración de Jira y te apasiona optimizar flujos de trabajo? ¿Te encanta desarrollar soluciones personalizadas para mejorar la productividad del...;04/08/2024;;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/ingeniero-firmware-murcia/c-mircocontroladores-firebase-ble-linux/rf-53531a47d20983ff134a;;Rointe;['C', 'mircocontroladores', 'Firebase'];Funciones:•Diseñar, desarrollar y mantener el firmware para dispositivos electrónicos integrados, como dispositivos IoT, sistemas embebidos, controladores de ...;04/08/2024;;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/content-marketing-seo-100-presencial-barcelona/semrush-google-search-conso/rf-77eb1b932227330f0840;;TBB.AGENCY;['SEMrush', 'Google Search Console', 'Screaming Frog'];Search Engine Marketer (SEO) PRESENCIAL en Barcelona para Agencia de Marketing digital.Buscamos una persona con mentalidad de marketer y que le guste y que entienda muy bien...;04/08/2024;;Actualizada;16000;21000;2024-08-04
https://www.tecnoempleo.com/docente-informatica-fp-barcelona/administracion-sistemas-programacion/rf-015517fbd289d303c94e;;iMES;['Administración sistemas', 'programación'];iMES busca incorporar docentes de FP en el campo de la informática en dos perfiles diferentes:1) Administración de redes, equipos y sistemas2) Programación y desarrollo ...;04/08/2024;;Actualizada;;;2024-08-04
https://www.tecnoempleo.com/desarrollador-web-fullstack-java-javascript-madrid/javascript-java/rf-79d917ddd2d383e86f4d;;Second Window;['JavaScript', 'Java'];¡Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas: FullStack Development!Si tienes al menos experiencia de 2 años trabajando como Programador/a ...;03/08/2024;;;;;2024-08-04
https://www.tecnoempleo.com/lider-tecnico-desarrollo-remoto/java-angular/rf-974e1e482236a3916042;;PANEL Sistemas Informáticos;['java', 'angular'];¿Quieres formar parte del #TeamPanel? Estamos buscando un Desarrollador y Líder Técnico Híbrido altamente motivado y con experiencia de al menos 4-5 años para crear un ...;03/08/2024;remoto;;;;2024-08-04
