job_url,job_name,job_company,job_technologies_stack,job_description,publication_date,city,workplace_location,has_been_updated,salary_lower_bound,salary_upper_bound,cutoff_date
https://www.tecnoempleo.com/project-manager-telecomunicaciones-gestelcom-servi/voip/rf-0cea1873429ee34a3849,Project Manager Telecomunicaciones,Gestelcom Servicios,['VoIP'],"Se requiere incorporación de Gestor/a de Servicio Técnico de Telecomunicaciones con experiencia de 2 a 3 años en Operadores de Telecomunicaciones:Entre otras, sus ...",2024-12-01,Madrid,Híbrido,True,,,2024-12-01
https://www.tecnoempleo.com/sap-sd-le-lead-red-global/sap-sap-sd/rf-5af210f7f211c36dc240,SAP SD LE Lead,RED Global,"['SAP', 'SAP SD']",*** SAP SD LE Lead - Contract Role - 3+ Months *** RED has a new opportunity for one of our global clients. They are looking for an SAP SD LE Lead for a short-term project. ...,2024-12-01,Barcelona,,True,,,2024-12-01
https://www.tecnoempleo.com/senior-developer-java-integracion-chakray/java-openshift-spring-git-api-mi/rf-cbd81dd7b27673c1b341,Senior Developer Java de integración,Chakray,"['java', 'Openshift', 'spring']","Funciones y Responsabilidades: Como developer senior en el área de integración de Chakray, se unirá a un equipo dinámico y en crecimiento de personas apasionadas por la ...",2024-11-29,,Remoto,False,,,2024-12-01
https://www.tecnoempleo.com/tecnico-soporte-nivel-2-junior-conecta-wireless/cisco-ccna-3cx-juniper-jun/rf-4e251b2aa2585328614e,Técnico de Soporte Nivel 2 (Junior),Conecta Wireless,"['Cisco', 'CCNA', '3CX']","El Técnico de Soporte Nivel 2 (Junior) será responsable de gestionar y resolver incidencias técnicas complejas, garantizando un servicio de alta calidad en la atención al ...",2024-11-29,Barcelona,Híbrido,False,,,2024-12-01
https://www.tecnoempleo.com/tecnico-sistemas-kyocera/oci-oke-linux-dns-windows-kubernetes-microservici/rf-82e71e2412c72327804e,Técnico/a de Sistemas,KYOCERA,"['OCI', 'OKE Linux', 'DNS']",En @Kyocera Document Solutions estamos buscando un/a Técnico de sistemas con experiencia en entornos de microservicios y Cloud.Buscamos un perfil con al menos 1 año de ...,2024-11-29,Madrid,Híbrido,False,,,2024-12-01
https://www.tecnoempleo.com/product-designer-ux-ui-gstock-web-app/figma-design-design-system-ux-ui-res/rf-5c1d179962d08300fa4a,Product Designer (UX/UI),Gstock Web App,"['figma', 'design', 'design system']","¿ Quienes somos ?En Gstock, llevamos desde 2013 revolucionando la gestión de restaurantes y hoteles. Nuestra aplicación web, diseñada específicamente para el sector ...",2024-11-29,,Remoto,False,21000.0,27000.0,2024-12-01
https://www.tecnoempleo.com/programador-integracion-sistemas-pbi-hotel-service/python-api-data-rest-bu/rf-2b951467228d9394d446,Programador Integración Sistemas y PBI,GAT Gestión de Activos Turísticos,"['python', 'api', 'data']","El Grupo GAT, importante empresa que gestiona hoteles y activos turísticos a nivel nacional e internacional, está buscando para su Departamento de Tecnología en la oficina ...",2024-11-29,Madrid,,False,,,2024-12-01
https://www.tecnoempleo.com/pmo-aristocrat/ms-project-ms-office/rf-b9c11e9c923583e3cf43,PMO,Aristocrat,"['MS Project', 'MS Office']","We are on the lookout for extraordinary people, who will be eager to learn, to be a part of a team and share our vision.We are seeking a quality and experienced PMO to join ...",2024-12-01,,,False,,,2024-12-01
https://www.tecnoempleo.com/sistemas-networking-michael-page/redes-networking-c-python-javascript/rf-c7ff100bd22b23428d43,Sistemas y Networking,Michael Page,"['redes', 'networking', 'C#']",Perfil buscado (Hombre/Mujer)• Gestión de hardware y software de elementos de red informática interna.• Configuración de parámetros y operación de herramientas de...,2024-12-01,Bizkaia,,False,,,2024-12-01
https://www.tecnoempleo.com/desarrollador-full-stack-cucunver/php-laravel-git-gitlab-react-javascript-/rf-be1419d282f0c3262644,Desarrollador Full Stack,Empresa de desarrollo de software propio,"['PHP', 'Laravel', 'GIT']",Responsabilidades:- Liderar la parte técnica actual como también su crecimiento.- Actualización de interfaces o protocolos existentes.- Desarrollo y mantenimiento de ...,2024-12-01,,Híbrido,True,21000.0,30000.0,2024-12-01
