id_provincia;provincia;num_ofertas
231;A Coruña;474
232;Álava;454
233;Albacete;444
234;Alicante;489
235;Almería;456
236;Asturias;482
237;Ávila;444
238;Badajoz;443
239;Baleares;452
240;Barcelona;1092
241;Bizkaia;536
242;Burgos;445
243;Cáceres;444
244;Cádiz;453
245;Cantabria;460
246;Castellón;456
247;Ceuta;438
248;Ciudad Real;452
249;Córdoba;464
250;Cuenca;440
251;Gipuzkoa;478
252;Girona;466
253;Granada;487
254;Guadalajara;463
255;Huelva;445
256;Huesca;439
257;Jaén;448
258;La Rioja;442
259;Las Palmas de Gran Canaria;470
260;León;450
261;Lugo;454
262;Lleida;460
263;Madrid;1565
264;Málaga;544
265;Melilla;437
266;Murcia;496
267;Navarra;448
268;Ourense;451
269;Palencia;439
270;Pontevedra;461
271;Salamanca;450
272;Sta. Cruz de Tenerife;466
273;Segovia;453
274;Sevilla;545
275;Soria;439
276;Tarragona;461
277;Teruel;440
278;Toledo;461
279;Valencia;670
280;Valladolid;474
281;Zamora;441
282;Zaragoza;482
