id_provincia;provincia;num_ofertas
231;;486
232;;477
233;;468
234;;519
235;;464
236;;500
237;;470
238;;467
239;;471
240;;1106
241;;541
242;;470
243;;466
244;;476
245;;479
246;;489
247;;461
248;;465
249;;494
250;;467
251;;501
252;;495
253;;492
254;;482
255;;471
256;;463
257;;467
258;;468
259;Las;483
260;;471
261;;464
262;;474
263;;1437
264;;562
265;;461
266;;516
267;;488
268;;463
269;;475
270;;472
271;;476
272;;476
273;;477
274;;561
275;;463
276;;482
277;;463
278;;479
279;;698
280;;512
281;;466
282;;514
