Technology,Count
i2c,1
analysis,53
apqp,1
graficos,1
suse,1
SAP BW,2
Marketing,69
marketplace,1
nexus,53
.Net ASP,142
iec,1
Shopify,108
eplan electric p8,1
spring cloud,5
aks,1
pvsyst,5
ipronet,1
Android,338
autosar,9
restemplate,1
cia,2
arquitecturahexagonal,52
macos,1
continuous improvement,1
uas/uav,1
xray,1
automatización,1
crisc,1
Microsoft Exchange,113
oepm,1
temenos,1
snmp,1
emset,1
indesing,1
xdr,1
sugar,52
Microsoft Dynamics Business Central,70
SA FICO,7
photoshop,8
robótica,4
Palo Alto Networks,158
firmware,6
consultoria it,1
teldat,1
frameworks,52
wso2,53
.Net Framework,53
storage,52
cableados de rack,1
Scripting,53
ompi,1
ntp,1
Kafka,108
sonar,2
cro,1
katalon,1
anaconda,2
pvdesign,2
mpls,1
eagle,1
ISO 26262,52
vsphere,5
Linux,838
axon,2
Project Manager,188
SAP MM,10
horizon,1
hyper v,53
websphere,2
natural adabas,1
point,1
it,7
Citrix,5
cti,52
bpo it,1
af,1
nagios,54
iso,5
eclipse,2
Tecnología de la Información,532
mac os,1
open api,2
Data Studio,4
VueJS,708
rrss,2
pick place,1
sistemas,2
growth,1
CSS,657
Service Desk,2
Web Services,106
emc,1
oracle bi,52
2d,1
psim,4
microcontroladores,3
SCADA,13
DNS,58
API REST,283
virtualización,2
nids,1
rac,7
prototype,1
ax,1
juniper,5
Appian,107
scss,2
3D,4
C,119
Clean Code,104
data link,1
presto,4
Microservicios,1332
fhir,1
rhel,3
pantallas led,1
.Net,1344
search ads 360,1
woocomerce,52
DJango,110
Google Big Query,109
ionic,52
jetpack,1
nuxt,53
Microsoft Access,5
redhat,7
slm,1
halcon,1
maven sql,1
xamarin,53
GitHub,2
qlikview,1
banca,52
qlik sense,2
jasmine,1
osi,1
Data Governance IDQ,52
datastage,1
mba,1
yaml,56
hids,1
oscp,1
sd wan,1
Switching,8
rfp,1
google search console,1
ccna,5
ngws,1
ServiceNow,113
Ada,1
PL/SQL,383
ibm,52
ISO 27001,57
Lean,1000
Agile,1276
gradle,1
viewmodel,2
rtos,1
SAP PS,1
customer journey,2
maven,2
Data Analytics,7
osisoft,1
it procurement,1
iot,4
.Net Visual Basic,58
Microsoft Dynamics AX,7
sct,52
isms,1
configuración incial,1
pm,4
sff,1
nat,1
jest,9
Java Swing,6
Team Leader,3
commvault,2
ketch,1
research,1
xunit,1
mapex,1
marin,1
fcas,1
ajax,4
networking,54
prince2,2
google tag manager,54
oci,1
hardware,27
PostgreSQL,10
genesys suite,1
powertrain,1
refx,1
Big Data,236
siemens,10
huawei,5
Microsoft Teams,3
conan,1
m3,2
sre,1
Git,236
wifi,2
ui,1
Data Hub,104
vlan,1
mi2,1
5s,1
Fortinet,111
Flutter,114
Postman,159
snow,52
android estudio,1
zendesk,2
aiv,1
openstack,52
industria 4 0,1
cocoa,1
ETL,287
f5,55
Microsoft Power Pivot,1
virtualizacion,1
pentaho,1
mvc,18
dataguard,1
SAP VISTEX,1
primavera p6,1
cognito,52
mecatrónica,2
SA CO,61
par.,1
karma,1
labview,4
SAP S/4HANA,168
Data Governance,57
videojuegos,1
rdf,1
Cake,2
SQL,900
gpo,2
COBOL,595
Bash,157
Ingeniería,3
etap,2
banca electrónica,1
powerbuilder,53
tizen,1
oracle soa,1
stm,1
spi,1
uwp,53
vulnerability analysis,1
Go,9
razor,6
Objective-C,315
exadata,1
genesys,2
notes,52
aruba,4
pcbs,1
i+d,4
json,2
capacitor,52
suite adobe,1
Confluence,217
pam,1
cisa,6
omron,5
psql,1
red team,1
JQuery,106
android tv,1
aso,52
revit,7
sketch,2
aix,1
ssl,1
SalesForce,169
frances,2
Azure SQL,52
guidewire,2
autómatas,1
SQL Server,414
Hibernate,222
Azure Data Factory,104
enterprise vault,52
tráfico aéreo,52
qgis,2
red hat pacemaker,52
testlink,4
mparticle,1
MicroStrategy,60
criptografía,2
telemática,1
ecmascript,1
procurve,2
MariaDB,6
visual studio,8
host,52
hl7,2
ewipo,1
async,1
Progress,105
amdocs,52
ipc,1
appium,54
nema,1
mockito,1
pv,1
green business book,52
rancher,2
moodle,52
SAP HCM,105
Apache Subversion,58
firebase,52
GCP,67
lamda,52
Microsoft Power Platform,4
Spark,230
ISO 27000,1
spring data,52
desarrollo de producto,1
rexx,1
fibra óptica,2
ccnp,2
social media,2
psd2,52
Microsoft 365,174
análisis forense,1
zoho crm,1
Electronica,57
react vuejs,52
DataBricks,2
LDAP,157
pmi,1
google search ads 360,1
control de riesgos,1
alm,53
mil,1
http,1
J2EE,607
elastic search,1
sdd,52
camt,1
ensamblador,1
wp,53
ADABAS,105
intercom,1
SAP SuccessFactors,1
Ingeniería Industrial,8
nutanix,2
gps,1
scib,52
wasp,2
silk,3
Routing,8
power automate,1
hmi,1
Microsoft Outlook,2
gerrit,2
Azure Active Directory,166
oracle e business suite,1
SSAS,1
HTML,491
Numpy,3
ntp/ptp,1
d3jhs,1
field service,1
hubspot,6
qradar,52
auditorias,4
pros,1
robotmachine,1
industria,1
Kotlin,288
PyTest,52
Microinformática,23
ISO 9001,1
Debian,2
Swift,540
struts,1
voip,1
apx,52
im,1
GitLab,2
Centos,1
VMware,153
tia portal,1
satcom,1
Sage ERP,2
luw,52
UX/UI,72
sisnet,52
Azure Functions,52
inteligencia artificial,8
Tableau,60
Telecomunicaciones,24
cableado,3
gestión,4
grafana,52
