id_provincia;provincia;num_ofertas
231;A Coruña;533
232;Álava;523
233;Albacete;507
234;Alicante;565
235;Almería;510
236;Asturias;523
237;Ávila;507
238;Badajoz;500
239;Baleares;509
240;Barcelona;1143
241;Bizkaia;601
242;Burgos;505
243;Cáceres;503
244;Cádiz;512
245;Cantabria;513
246;Castellón;538
247;Ceuta;498
248;Ciudad Real;504
249;Córdoba;518
250;Cuenca;502
251;Gipuzkoa;559
252;Girona;526
253;Granada;512
254;Guadalajara;513
255;Huelva;518
256;Huesca;500
257;Jaén;505
258;La Rioja;509
259;Las Palmas de Gran Canaria;508
260;León;502
261;Lugo;507
262;Lleida;515
263;Madrid;1369
264;Málaga;575
265;Melilla;499
266;Murcia;551
267;Navarra;533
268;Ourense;507
269;Palencia;509
270;Pontevedra;520
271;Salamanca;506
272;Sta. Cruz de Tenerife;505
273;Segovia;509
274;Sevilla;582
275;Soria;498
276;Tarragona;525
277;Teruel;502
278;Toledo;514
279;Valencia;757
280;Valladolid;546
281;Zamora;503
282;Zaragoza;552
