id_provincia;provincia;num_ofertas
231;A Coruña;540
232;Álava;531
233;Albacete;517
234;Alicante;577
235;Almería;517
236;Asturias;531
237;Ávila;516
238;Badajoz;509
239;Baleares;519
240;Barcelona;1139
241;Bizkaia;605
242;Burgos;514
243;Cáceres;513
244;Cádiz;520
245;Cantabria;522
246;Castellón;547
247;Ceuta;506
248;Ciudad Real;511
249;Córdoba;528
250;Cuenca;509
251;Gipuzkoa;565
252;Girona;533
253;Granada;522
254;Guadalajara;522
255;Huelva;525
256;Huesca;508
257;Jaén;512
258;La Rioja;514
259;Las Palmas de Gran Canaria;519
260;León;510
261;Lugo;512
262;Lleida;524
263;Madrid;1349
264;Málaga;574
265;Melilla;507
266;Murcia;555
267;Navarra;536
268;Ourense;513
269;Palencia;518
270;Pontevedra;519
271;Salamanca;513
272;Sta. Cruz de Tenerife;514
273;Segovia;517
274;Sevilla;598
275;Soria;506
276;Tarragona;530
277;Teruel;510
278;Toledo;520
279;Valencia;767
280;Valladolid;553
281;Zamora;511
282;Zaragoza;555
