id_provincia;provincia;num_ofertas
231;A Coruña;549
232;Álava;539
233;Albacete;522
234;Alicante;585
235;Almería;523
236;Asturias;539
237;Ávila;523
238;Badajoz;514
239;Baleares;525
240;Barcelona;1152
241;Bizkaia;619
242;Burgos;519
243;Cáceres;518
244;Cádiz;525
245;Cantabria;529
246;Castellón;554
247;Ceuta;513
248;Ciudad Real;518
249;Córdoba;527
250;Cuenca;516
251;Gipuzkoa;573
252;Girona;539
253;Granada;525
254;Guadalajara;528
255;Huelva;531
256;Huesca;515
257;Jaén;515
258;La Rioja;524
259;Las Palmas de Gran Canaria;520
260;León;515
261;Lugo;522
262;Lleida;526
263;Madrid;1374
264;Málaga;588
265;Melilla;515
266;Murcia;561
267;Navarra;543
268;Ourense;523
269;Palencia;523
270;Pontevedra;534
271;Salamanca;521
272;Sta. Cruz de Tenerife;521
273;Segovia;523
274;Sevilla;590
275;Soria;512
276;Tarragona;539
277;Teruel;517
278;Toledo;529
279;Valencia;777
280;Valladolid;561
281;Zamora;518
282;Zaragoza;563
