id_provincia;provincia;num_ofertas
231;A Coruña;491
232;Álava;471
233;Albacete;461
234;Alicante;506
235;Almería;470
236;Asturias;500
237;Ávila;461
238;Badajoz;460
239;Baleares;468
240;Barcelona;1113
241;Bizkaia;550
242;Burgos;463
243;Cáceres;461
244;Cádiz;470
245;Cantabria;477
246;Castellón;473
247;Ceuta;455
248;Ciudad Real;468
249;Córdoba;479
250;Cuenca;457
251;Gipuzkoa;494
252;Girona;485
253;Granada;504
254;Guadalajara;481
255;Huelva;461
256;Huesca;456
257;Jaén;464
258;La Rioja;457
259;Las Palmas de Gran Canaria;489
260;León;467
261;Lugo;470
262;Lleida;477
263;Madrid;1583
264;Málaga;560
265;Melilla;454
266;Murcia;513
267;Navarra;467
268;Ourense;467
269;Palencia;457
270;Pontevedra;476
271;Salamanca;466
272;Sta. Cruz de Tenerife;484
273;Segovia;471
274;Sevilla;559
275;Soria;456
276;Tarragona;479
277;Teruel;457
278;Toledo;479
279;Valencia;688
280;Valladolid;494
281;Zamora;459
282;Zaragoza;496
