id_provincia;provincia;num_ofertas
231;A Coruña;574
232;Álava;563
233;Albacete;549
234;Alicante;608
235;Almería;548
236;Asturias;566
237;Ávila;548
238;Badajoz;540
239;Baleares;550
240;Barcelona;1159
241;Bizkaia;641
242;Burgos;546
243;Cáceres;545
244;Cádiz;548
245;Cantabria;554
246;Castellón;578
247;Ceuta;538
248;Ciudad Real;542
249;Córdoba;556
250;Cuenca;541
251;Gipuzkoa;595
252;Girona;566
253;Granada;554
254;Guadalajara;555
255;Huelva;553
256;Huesca;540
257;Jaén;544
258;La Rioja;548
259;Las Palmas de Gran Canaria;553
260;León;542
261;Lugo;543
262;Lleida;555
263;Madrid;1379
264;Málaga;597
265;Melilla;539
266;Murcia;588
267;Navarra;567
268;Ourense;543
269;Palencia;550
270;Pontevedra;550
271;Salamanca;546
272;Sta. Cruz de Tenerife;547
273;Segovia;549
274;Sevilla;629
275;Soria;538
276;Tarragona;561
277;Teruel;542
278;Toledo;555
279;Valencia;799
280;Valladolid;586
281;Zamora;543
282;Zaragoza;588
