id_provincia;provincia;num_ofertas
231;;521
232;;513
233;;500
234;;559
235;;497
236;;526
237;;502
238;;498
239;;504
240;;1164
241;;591
242;;500
243;;497
244;;510
245;;510
246;;520
247;;493
248;;500
249;;529
250;;498
251;;529
252;;527
253;;528
254;;513
255;;505
256;;497
257;;502
258;;502
259;Las;513
260;;504
261;;497
262;;508
263;;1501
264;;588
265;;493
266;;547
267;;519
268;;498
269;;510
270;;507
271;;504
272;;507
273;;510
274;;597
275;;494
276;;517
277;;495
278;;512
279;;741
280;;548
281;;500
282;;554
