id_provincia;provincia;num_ofertas
231;;530
232;;528
233;;516
234;;574
235;;513
236;;546
237;;519
238;;513
239;;519
240;;1137
241;;587
242;;520
243;;514
244;;531
245;;524
246;;535
247;;510
248;;514
249;;543
250;;515
251;;548
252;;541
253;;541
254;;531
255;;520
256;;513
257;;516
258;;517
259;Las;527
260;;520
261;;516
262;;519
263;;1539
264;;612
265;;510
266;;567
267;;540
268;;513
269;;521
270;;519
271;;520
272;;522
273;;526
274;;615
275;;511
276;;527
277;;512
278;;527
279;;754
280;;555
281;;514
282;;559
