id_city;city;num_ofertas
231;A Coruña;575
232;Álava;567
233;Albacete;553
234;Alicante;613
235;Almería;552
236;Asturias;571
237;Ávila;552
238;Badajoz;544
239;Baleares;560
240;Barcelona;1168
241;Bizkaia;646
242;Burgos;551
243;Cáceres;547
244;Cádiz;551
245;Cantabria;555
246;Castellón;587
247;Ceuta;543
248;Ciudad Real;547
249;Córdoba;559
250;Cuenca;546
251;Gipuzkoa;601
252;Girona;571
253;Granada;555
254;Guadalajara;558
255;Huelva;556
256;Huesca;545
257;Jaén;548
258;La Rioja;554
259;Las Palmas de Gran Canaria;558
260;León;548
261;Lugo;547
262;Lleida;559
263;Madrid;1393
264;Málaga;599
265;Melilla;543
266;Murcia;590
267;Navarra;570
268;Ourense;549
269;Palencia;555
270;Pontevedra;559
271;Salamanca;550
272;Sta. Cruz de Tenerife;554
273;Segovia;554
274;Sevilla;626
275;Soria;543
276;Tarragona;565
277;Teruel;547
278;Toledo;557
279;Valencia;796
280;Valladolid;591
281;Zamora;546
282;Zaragoza;600
