id_city;city;num_ofertas
231;A Coruña;569
232;Álava;559
233;Albacete;545
234;Alicante;604
235;Almería;544
236;Asturias;562
237;Ávila;543
238;Badajoz;536
239;Baleares;547
240;Barcelona;1151
241;Bizkaia;637
242;Burgos;542
243;Cáceres;540
244;Cádiz;544
245;Cantabria;550
246;Castellón;574
247;Ceuta;534
248;Ciudad Real;538
249;Córdoba;551
250;Cuenca;537
251;Gipuzkoa;590
252;Girona;562
253;Granada;549
254;Guadalajara;551
255;Huelva;549
256;Huesca;536
257;Jaén;540
258;La Rioja;544
259;Las Palmas de Gran Canaria;548
260;León;538
261;Lugo;538
262;Lleida;551
263;Madrid;1365
264;Málaga;591
265;Melilla;535
266;Murcia;583
267;Navarra;563
268;Ourense;538
269;Palencia;546
270;Pontevedra;545
271;Salamanca;541
272;Sta. Cruz de Tenerife;543
273;Segovia;545
274;Sevilla;622
275;Soria;534
276;Tarragona;557
277;Teruel;538
278;Toledo;551
279;Valencia;793
280;Valladolid;581
281;Zamora;538
282;Zaragoza;584
