id_city;city;num_ofertas
231;A Coruña;569
232;Álava;561
233;Albacete;546
234;Alicante;605
235;Almería;545
236;Asturias;564
237;Ávila;544
238;Badajoz;538
239;Baleares;549
240;Barcelona;1151
241;Bizkaia;639
242;Burgos;543
243;Cáceres;540
244;Cádiz;546
245;Cantabria;552
246;Castellón;576
247;Ceuta;536
248;Ciudad Real;540
249;Córdoba;553
250;Cuenca;539
251;Gipuzkoa;591
252;Girona;564
253;Granada;551
254;Guadalajara;553
255;Huelva;551
256;Huesca;538
257;Jaén;541
258;La Rioja;546
259;Las Palmas de Gran Canaria;549
260;León;540
261;Lugo;539
262;Lleida;552
263;Madrid;1361
264;Málaga;593
265;Melilla;537
266;Murcia;584
267;Navarra;564
268;Ourense;539
269;Palencia;548
270;Pontevedra;546
271;Salamanca;541
272;Sta. Cruz de Tenerife;545
273;Segovia;547
274;Sevilla;618
275;Soria;536
276;Tarragona;559
277;Teruel;540
278;Toledo;553
279;Valencia;793
280;Valladolid;581
281;Zamora;539
282;Zaragoza;587
