id_city;city;num_ofertas
231;A Coruña;482
232;Álava;465
233;Albacete;456
234;Alicante;504
235;Almería;468
236;Asturias;491
237;Ávila;457
238;Badajoz;455
239;Baleares;464
240;Barcelona;1105
241;Bizkaia;551
242;Burgos;457
243;Cáceres;456
244;Cádiz;462
245;Cantabria;471
246;Castellón;469
247;Ceuta;450
248;Ciudad Real;464
249;Córdoba;475
250;Cuenca;452
251;Gipuzkoa;486
252;Girona;477
253;Granada;494
254;Guadalajara;476
255;Huelva;457
256;Huesca;451
257;Jaén;460
258;La Rioja;454
259;Las Palmas de Gran Canaria;467
260;León;458
261;Lugo;461
262;Lleida;473
263;Madrid;1576
264;Málaga;555
265;Melilla;449
266;Murcia;507
267;Navarra;459
268;Ourense;462
269;Palencia;451
270;Pontevedra;472
271;Salamanca;465
272;Sta. Cruz de Tenerife;463
273;Segovia;467
274;Sevilla;557
275;Soria;452
276;Tarragona;474
277;Teruel;452
278;Toledo;476
279;Valencia;685
280;Valladolid;485
281;Zamora;452
282;Zaragoza;493
