id_city;city;num_ofertas
231;A Coruña;483
232;Álava;469
233;Albacete;458
234;Alicante;506
235;Almería;471
236;Asturias;492
237;Ávila;459
238;Badajoz;457
239;Baleares;467
240;Barcelona;1113
241;Bizkaia;552
242;Burgos;459
243;Cáceres;458
244;Cádiz;463
245;Cantabria;473
246;Castellón;470
247;Ceuta;452
248;Ciudad Real;466
249;Córdoba;478
250;Cuenca;454
251;Gipuzkoa;491
252;Girona;478
253;Granada;496
254;Guadalajara;479
255;Huelva;458
256;Huesca;453
257;Jaén;462
258;La Rioja;456
259;Las Palmas de Gran Canaria;468
260;León;457
261;Lugo;462
262;Lleida;474
263;Madrid;1569
264;Málaga;557
265;Melilla;451
266;Murcia;509
267;Navarra;461
268;Ourense;464
269;Palencia;453
270;Pontevedra;474
271;Salamanca;467
272;Sta. Cruz de Tenerife;465
273;Segovia;469
274;Sevilla;558
275;Soria;454
276;Tarragona;474
277;Teruel;454
278;Toledo;478
279;Valencia;675
280;Valladolid;487
281;Zamora;454
282;Zaragoza;494
