id_city;city;num_ofertas
231;A Coruña;538
232;Álava;529
233;Albacete;512
234;Alicante;570
235;Almería;513
236;Asturias;529
237;Ávila;513
238;Badajoz;504
239;Baleares;512
240;Barcelona;1149
241;Bizkaia;608
242;Burgos;507
243;Cáceres;508
244;Cádiz;516
245;Cantabria;517
246;Castellón;544
247;Ceuta;504
248;Ciudad Real;509
249;Córdoba;517
250;Cuenca;507
251;Gipuzkoa;561
252;Girona;528
253;Granada;516
254;Guadalajara;517
255;Huelva;522
256;Huesca;504
257;Jaén;504
258;La Rioja;514
259;Las Palmas de Gran Canaria;510
260;León;505
261;Lugo;510
262;Lleida;513
263;Madrid;1363
264;Málaga;579
265;Melilla;505
266;Murcia;553
267;Navarra;532
268;Ourense;511
269;Palencia;513
270;Pontevedra;522
271;Salamanca;510
272;Sta. Cruz de Tenerife;512
273;Segovia;514
274;Sevilla;580
275;Soria;502
276;Tarragona;526
277;Teruel;507
278;Toledo;520
279;Valencia;765
280;Valladolid;554
281;Zamora;508
282;Zaragoza;554
