id_city;city;num_ofertas
231;A Coruña;550
232;Álava;539
233;Albacete;526
234;Alicante;584
235;Almería;526
236;Asturias;540
237;Ávila;525
238;Badajoz;518
239;Baleares;525
240;Barcelona;1147
241;Bizkaia;614
242;Burgos;522
243;Cáceres;522
244;Cádiz;527
245;Cantabria;531
246;Castellón;555
247;Ceuta;515
248;Ciudad Real;520
249;Córdoba;536
250;Cuenca;518
251;Gipuzkoa;573
252;Girona;542
253;Granada;531
254;Guadalajara;530
255;Huelva;534
256;Huesca;517
257;Jaén;521
258;La Rioja;523
259;Las Palmas de Gran Canaria;528
260;León;518
261;Lugo;521
262;Lleida;533
263;Madrid;1348
264;Málaga;582
265;Melilla;516
266;Murcia;566
267;Navarra;546
268;Ourense;522
269;Palencia;526
270;Pontevedra;528
271;Salamanca;522
272;Sta. Cruz de Tenerife;523
273;Segovia;526
274;Sevilla;602
275;Soria;515
276;Tarragona;540
277;Teruel;519
278;Toledo;530
279;Valencia;775
280;Valladolid;561
281;Zamora;520
282;Zaragoza;566
